Date,High,Low,Open,Close,Amount,Count,Vol
2024-05-12 13:57:00,61060.91,61035.09,61038.22,61060.91,0.111361,34,6797.38813872
2024-05-12 13:58:00,61060.92,61060.91,61060.92,61060.91,0.005514470004382508,3,336.71856063999996
2024-05-12 13:59:00,61060.91,61048.63,61060.91,61048.63,0.159282,22,9725.48343453
2024-05-12 14:00:00,61048.0,61048.0,61048.0,61048.0,0.00633,2,386.43384
2024-05-12 14:01:00,61036.72,61035.71,61036.72,61035.71,0.032941,2,2010.57898153
2024-05-12 14:02:00,61029.65,61020.79,61029.65,61020.79,0.005202,3,317.45901546
2024-05-12 14:03:00,61016.74,61016.74,61016.74,61016.74,0.00564,2,344.1344136
2024-05-12 14:04:00,61021.89,61016.74,61016.75,61021.89,0.14187323977432426,19,8656.99330193
2024-05-12 14:05:00,61027.19,61027.19,61027.19,61027.19,0.00018,1,10.9848942
2024-05-12 14:06:00,61033.74,61027.2,61027.2,61033.74,0.036957,8,2255.4185279
2024-05-12 14:07:00,61059.16,61046.65,61046.65,61059.16,0.01294,5,789.95215829
2024-05-12 14:08:00,61058.14,61053.33,61058.14,61053.33,0.176646,19,10785.01327838
2024-05-12 14:09:00,61049.28,61048.83,61049.28,61048.83,0.04925,5,3006.66018513
2024-05-12 14:10:00,61046.68,61046.67,61046.68,61046.67,0.033355307725825546,3,2036.23046946
2024-05-12 14:11:00,61046.67,61046.67,61046.67,61046.67,0.0,0,0.0
2024-05-12 14:12:00,61046.67,61046.66,61046.66,61046.67,0.005087,5,310.54439238
2024-05-12 14:13:00,61046.67,61046.67,61046.67,61046.67,0.0,0,0.0
2024-05-12 14:14:00,61046.66,61045.3,61046.66,61045.3,0.020382,8,1244.2502198
2024-05-12 14:15:00,61045.31,61032.44,61045.31,61032.44,0.074933,20,4573.80279682
2024-05-12 14:16:00,61023.98,61008.01,61023.98,61008.01,0.017528,4,1069.39790628
2024-05-12 14:17:00,61002.39,60996.88,61002.39,60996.88,0.004030682637352405,6,245.86676443
2024-05-12 14:18:00,60997.27,60991.02,60997.27,60995.09,0.304664,13,18582.3854148
2024-05-12 14:19:00,61002.59,60995.09,60995.09,61002.59,0.116112,17,7082.37225831
2024-05-12 14:20:00,61001.25,60991.03,61001.25,60991.04,0.05256799111492442,16,3206.40861134
2024-05-12 14:21:00,60991.03,60990.0,60991.03,60990.0,0.014011375345240966,4,854.5617843
2024-05-12 14:22:00,60994.59,60984.58,60990.01,60994.59,0.2826605376413285,28,17238.95098798
2024-05-12 14:23:00,61005.28,60994.59,60994.59,61005.28,0.02181406053995936,11,1330.7163937
2024-05-12 14:24:00,61005.27,61005.27,61005.27,61005.27,0.010709,5,653.30543643
2024-05-12 14:25:00,60999.62,60999.62,60999.62,60999.62,0.001252,4,76.37152424
2024-05-12 14:26:00,60999.61,60999.61,60999.61,60999.61,0.011409,1,695.94455049
2024-05-12 14:27:00,60999.61,60999.61,60999.61,60999.61,0.01681,3,1025.4034441
2024-05-12 14:28:00,61020.58,60999.61,60999.61,61016.66,0.119811,20,7309.40208537
2024-05-12 14:29:00,61012.33,61012.33,61012.33,61012.33,0.010793,2,658.50607769
2024-05-12 14:30:00,61014.71,61012.33,61012.33,61014.71,0.003305,4,201.65299806
2024-05-12 14:31:00,61018.18,61014.71,61014.71,61018.18,0.036024,11,2198.01120136
2024-05-12 14:32:00,61020.6,61018.18,61018.18,61020.6,0.013145873559978353,6,802.1506648699999
