Date,Open,High,Low,Close,Vol,BuySignal,Stop_profit,exit_price,Matured,time_cost,buy,sell,profit,OBV_UP,sBuy,sSell,sProfit,sPosition,sCash,sAvgCost,xBuy,xSell,xProfit,xPosition,xCash,xAvgCost,xBuyOrder,xSellOrder,Kelly,Postrior,P/L,likelihood,profit_margin,loss_margin
2023-11-30,0.2623,0.2678,0.2252,0.2365,21836532.44773681,0.0,0.4998347396962746,0.2136816666666667,2024-04-10,0.0,0.2365,0.669,1.8287526427061316,False,,,,,0.23513363506431517,,,,,,,,,,,,,,,
2023-12-01,0.2365,0.264,0.2333,0.2408,18587465.96272787,0.0,0.5127478658265685,0.18605916666666666,2024-04-10,0.0,0.2408,0.669,1.7782392026578075,False,,,,,0.6007360647927555,,,,,,,,,,,,,,,
2023-12-02,0.2407,0.2642,0.2405,0.2539,17246083.59201169,0.0,0.5239083846522097,0.188965,2024-04-10,0.0,0.2539,0.669,1.6348956282000788,True,0.2642,0.2375,-0.10105980317940955,124.76644009493725,1.714548118151498,0.24343886045709554,,,,,,,,,,,,,,
2023-12-03,0.2539,0.29,0.2527,0.2634,24107061.77309076,0.0,0.5398275599810217,0.20097416666666668,2024-04-10,0.0,0.2634,0.669,1.5398633257403187,True,0.29,0.2375,-0.18103448275862066,160.97333664666138,2.4904803210064728,0.253911615746133,,,,,,,,,,,,,,
2023-12-04,0.2635,0.3058,0.2604,0.2692,25281020.04091619,1.0,0.55844607309001,0.20870083333333334,2024-04-10,0.0,0.2692,0.669,1.4851411589895989,False,,,,,2.4610222252812406,,,,,,,,,,1.0,0.0,10/1,9.975283743707422,0.08809713456725557,0.0
2023-12-05,0.2693,0.3163,0.2662,0.2915,27270916.05938848,1.0,0.579230627886177,0.212115,2024-04-10,0.0,0.2915,0.669,1.2950257289879934,False,,,,,6.050727632501776,,,,,,,,,,1.0,0.0,10/1,9.975283743707422,0.14021737874233978,0.0
2023-12-06,0.2912,0.3157,0.2743,0.2855,28531197.97772686,0.0,0.595542598723865,0.2316325,2024-04-10,0.0,0.2855,0.669,1.343257443082312,False,,,,,5.084887612621813,,,,,,,,,,,,,,,
2023-12-07,0.2855,0.29,0.2607,0.2841,29746637.32774173,0.0,0.6000331294129395,0.22333999999999998,2024-04-10,0.0,0.2841,0.669,1.3548046462513201,False,,,,,4.859524941316494,,,,,,,,,,,,,,,
2023-12-08,0.284,0.2863,0.2706,0.2757,30227089.90082677,0.0,0.6016218006529157,0.2204,2024-04-10,0.0,0.2757,0.669,1.426550598476605,False,,,,,3.5073489134845346,,,,,,,,,,,,,,,
2023-12-09,0.2756,0.2835,0.27,0.2738,27562914.66645419,0.0,0.6002663788564104,0.21160916666666668,2024-04-10,0.0,0.2738,0.669,1.4433893352812275,False,,,,,3.2014995738558696,,,,,,,,,,,,,,,
2023-12-10,0.2738,0.2769,0.2539,0.2627,25046732.03700672,0.0,0.5933698251613233,0.20913166666666666,2024-04-10,0.0,0.2627,0.669,1.5466311381804343,False,,,,,1.4146955370779324,,,,,,,,,,,,,,,
2023-12-11,0.2626,0.2665,0.2182,0.2375,24924432.09745748,0.0,0.583808051605963,0.19701666666666667,2024-04-10,0.0,0.2375,0.669,1.816842105263158,False,,,,,-2.6418325464179304,,,,,,,,,,,,,,,
2023-12-12,0.2373,0.2529,0.2287,0.2408,23732373.41745373,0.0,0.5711516337760392,0.16920916666666666,2024-04-10,0.0,0.2408,0.669,1.7782392026578075,False,,,,,-2.110620535483946,,,,,,,,,,,,,,,
2023-12-13,0.2407,0.2415,0.21,0.228,27199408.325126957,0.0,0.5621182352359074,0.1712958333333333,2024-04-10,0.0,0.228,0.669,1.9342105263157894,False,,,,,-2.6418325464179304,,,,,,,,,,,,,,,
2023-12-14,0.2279,0.2529,0.2236,0.2406,26411390.59124564,0.0,0.5555628032904059,0.15679833333333335,2024-04-10,0.0,0.2406,0.669,1.7805486284289276,False,,,,,-2.6418325464179304,,,,,,,,,,,,,,,
2023-12-15,0.2398,0.2571,0.2276,0.233,26791436.49951039,0.0,0.5478612204537652,0.1677941666666667,2024-04-10,0.0,0.233,0.669,1.871244635193133,False,,,,,-2.6418325464179304,,,,,,,,,,,,,,,
2023-12-16,0.2328,0.244,0.222,0.2404,28310946.9478649,0.0,0.5397195239796524,0.15879416666666668,2024-04-10,0.0,0.2404,0.669,1.7828618968386025,False,,,,,-2.6418325464179304,,,,,,,,,,,,,,,
2023-12-17,0.2399,0.2529,0.2258,0.232,30891278.17023927,0.0,0.5251043204295962,0.165325,2024-04-10,0.0,0.232,0.669,1.8836206896551726,False,,,,,-2.6418325464179304,,,,,,,,,,,,,,,
2023-12-18,0.2317,0.2427,0.2064,0.2255,30641777.70249792,0.0,0.5040239122225791,0.15554833333333334,2024-04-10,0.0,0.2255,0.669,1.966740576496674,False,,,,,-2.6418325464179304,,,,,,,,,,,,,,,
2023-12-19,0.2253,0.3715,0.2243,0.364,28900721.25911257,1.0,0.5145651462860763,0.1479225,2024-04-10,0.0,0.364,0.669,0.837912087912088,False,,,,,-2.6418325464179304,,,,,,,,,,1.0,0.0,10/1,9.975283743707422,0.5469216769079583,0.0
2023-12-20,0.364,0.3848,0.32,0.3544,28123717.44082119,1.0,0.5345049790521244,0.2781625,2024-04-10,0.0,0.3544,0.669,0.8876975169300227,False,,,,,-2.6418325464179304,,,,,,,,,,1.0,0.0,9/2,4.488883171068912,0.5025586784376834,0.02637362637362639
2023-12-21,0.3544,0.412,0.3512,0.3796,29532099.21103372,1.0,0.5691408873400838,0.2650975,2024-04-10,0.0,0.3796,0.669,0.7623814541622762,False,,,,,-2.6418325464179304,,,,,,,,,,1.0,0.0,10/1,9.975283743707422,0.6173313953801759,0.0
2023-12-22,0.3794,0.3936,0.3311,0.3521,28006440.79635081,0.0,0.5814594781554365,0.28705416666666667,2024-04-10,0.0,0.3521,0.669,0.9000284010224369,False,,,,,-2.6418325464179304,,,,,,,,,,,,,,,
2023-12-23,0.3522,0.3714,0.3419,0.3529,27776349.29038818,0.0,0.5903486521396483,0.2562116666666667,2024-04-10,0.0,0.3529,0.669,0.8957211674695382,False,,,,,-2.6418325464179304,,,,,,,,,,,,,,,
2023-12-24,0.3529,0.3757,0.3219,0.3495,28227025.68452695,0.0,0.6058452532313674,0.2558566666666667,2024-04-10,0.0,0.3495,0.669,0.9141630901287556,False,,,,,-2.6418325464179304,,,,,,,,,,,,,,,
2023-12-25,0.3495,0.4034,0.3463,0.3888,27733531.27361812,0.0,0.6308062499091667,0.24991333333333332,2024-04-10,0.0,0.3888,0.669,0.7206790123456792,False,,,,,-2.6418325464179304,,,,,,,,,,,,,,,
2023-12-26,0.389,0.4924,0.3771,0.435,26219226.166843347,1.0,0.6951173808533594,0.28667,2024-04-10,0.0,0.435,0.669,0.5379310344827588,False,,,,,-2.6418325464179304,,,,,,,,,,1.0,0.0,10/1,9.975283743707422,0.20317432553957693,0.0
2023-12-27,0.435,0.5194,0.4044,0.4544,27999043.113036618,1.0,0.760428720214688,0.3263775,2024-04-10,0.0,0.4544,0.669,0.4722711267605635,False,,,,,-2.6418325464179304,,,,,,,,,,1.0,0.0,10/1,9.975283743707422,0.23500216683283695,0.0
2023-12-28,0.4545,0.4973,0.4302,0.4592,26689799.577250894,0.0,0.8062253021882089,0.33953000000000005,2024-04-10,0.0,0.4592,0.669,0.4568815331010454,False,,,,,-2.6418325464179304,,,,,,,,,,,,,,,
2023-12-29,0.4592,0.58,0.431,0.5439,29180157.37668697,1.0,0.8905020235048848,0.34064916666666667,2024-04-10,0.0,0.5439,0.669,0.23000551571980132,False,,,,,-2.6418325464179304,,,,,,,,,,1.0,0.0,10/1,9.975283743707422,0.5082165869941964,0.0
2023-12-30,0.5439,0.5796,0.5123,0.5456,29647623.49774097,0.0,0.9577092048603828,0.41693750000000007,2024-04-10,0.0,0.5456,0.669,0.22617302052785937,False,,,,,-2.6418325464179304,,,,,,,,,,,,,,,
2023-12-31,0.5455,0.6324,0.5452,0.5829,24414980.23203729,1.0,1.0398380365194495,0.41531833333333334,2024-04-10,0.0,0.5829,0.669,0.14770972722593934,False,,,,,-2.6418325464179304,,,,,,,,,,1.0,0.0,10/1,9.975283743707422,0.5574026759822137,0.0
