Date,Open,High,Low,Close,Vol,BuySignal,Stop_profit,exit_price,Matured,time_cost,buy,sell,profit,OBV_UP,sBuy,sSell,sProfit,sPosition,sCash,sAvgCost,sPnLRatio,Kelly,Postrior,P/L,likelihood,profit_margin,loss_margin
2024-08-31 14:12:00,59190.48,59190.48,59190.48,59190.48,8140.22995248,0.0,59462.981898890466,59190.47,2024-08-31 14:21:00,0.0,59190.48,59228.39857142857,0.0006406194277959187,False,,,,,,,,,,,,,
2024-08-31 14:13:00,59193.25,59200.62,59188.8,59200.62,118814.91332431,0.0,59456.786911532596,59190.47,2024-08-31 14:21:00,0.0,59200.62,59228.39857142857,0.00046922771127344554,False,,,,,,,,,,,,,
2024-08-31 14:14:00,59200.62,59200.62,59200.62,59200.62,3196.76625592,0.0,59451.05262568238,59190.906428571434,2024-08-31 14:21:00,0.0,59200.62,59228.39857142857,0.00046922771127344554,False,,,,,,,,,,,,,
2024-08-31 14:15:00,59200.62,59212.78,59200.62,59212.77,42279.57472832,0.0,59439.82430302917,59190.908571428576,2024-08-31 14:21:00,0.0,59212.77,59228.39857142857,0.0002639392048129352,False,,,,,,,,,,,,,
2024-08-31 14:16:00,59212.77,59214.68,59212.77,59214.68,3290.00337832,0.0,59422.8962415707,59200.455,2024-08-31 14:21:00,0.0,59214.68,59228.39857142857,0.00023167517630051648,False,,,,,,,,,,,,,
2024-08-31 14:17:00,59214.72,59214.72,59214.71,59214.72,17666.77091516,0.0,59403.11367721342,59206.38285714286,2024-08-31 14:21:00,0.0,59214.72,59228.39857142857,0.0002309995120903796,False,,,,,,,,,,,,,
2024-08-31 14:18:00,59221.8,59229.74,59221.8,59229.74,9127.30292097,0.0,59377.67604002164,59207.408571428576,2024-08-31 14:21:00,0.0,59229.74,59228.39857142857,-2.264788890549152e-05,False,,,,,,,,,,,,,
2024-08-31 14:19:00,59235.98,59235.98,59235.98,59235.98,3126.65273234,0.0,59349.67764214822,59220.962857142855,2024-08-31 14:21:00,0.0,59235.98,59228.39857142857,-0.0001279868851908894,False,,,,,,,,,,,,,
2024-08-31 14:20:00,59235.99,59235.99,59235.98,59235.98,353.46433998,0.0,59347.251665614574,59225.86785714286,2024-08-31 14:21:00,0.0,59235.98,59228.39857142857,-0.0001279868851908894,False,,,,,,,,,,,,,
2024-08-31 14:21:00,59235.98,59235.98,59224.03,59224.03,130993.62749259,0.0,59339.24290926856,59228.39857142857,2024-08-31 14:21:00,0.0,59224.03,59228.39857142857,7.37634947938215e-05,False,,,,,,,,,,,,,
2024-08-31 14:22:00,59224.03,59224.03,59223.83,59223.83,11219.57556617,0.0,59332.27041242064,59213.88785714286,2024-08-31 14:36:00,0.0,59223.83,59249.37285714286,0.0004312935712340593,False,,,,,,,,,,,,,
2024-08-31 14:23:00,59219.19,59223.7,59219.19,59223.7,38644.74033301,0.0,59324.592242309736,59216.250714285714,2024-08-31 14:36:00,0.0,59223.7,59249.37285714286,0.0004334895851298981,False,,,,,,,,,,,,,
2024-08-31 14:24:00,59223.7,59224.94,59223.69,59224.93,522.6044756199999,0.0,59318.595445746294,59215.53571428571,2024-08-31 14:36:00,0.0,59224.93,59249.37285714286,0.0004127123011012923,False,,,,,,,,,,,,,
2024-08-31 14:25:00,59224.93,59224.93,59224.93,59224.93,105.68729517999995,0.0,59315.52616008423,59216.50642857143,2024-08-31 14:36:00,0.0,59224.93,59249.37285714286,0.0004127123011012923,False,,,,,,,,,,,,,
2024-08-31 14:26:00,59224.93,59237.07,59215.01,59237.07,283972.71042647,0.0,59313.4076290536,59219.725,2024-08-31 14:36:00,0.0,59237.07,59249.37285714286,0.00020768848193974954,True,59237.07,59219.725,-0.0002928065145693104,0.0,99.9041076975376,59237.07,-0.005856130291386203,,,,,,
2024-08-31 14:27:00,59237.07,59237.07,59237.07,59237.07,1304.1080743,0.0,59314.84087200911,59228.475,2024-08-31 14:36:00,0.0,59237.07,59249.37285714286,0.00020768848193974954,False,,,,,,,,,,,,,
2024-08-31 14:28:00,59237.07,59239.06,59237.07,59237.11,2246.3903357,1.0,59317.426120495256,59228.47714285714,2024-08-31 14:36:00,0.0,59237.11,59249.37285714286,0.00020701308930926032,False,,,,,,,,0.6388888482150761,0.5806451338640692,21/10,1.3846152287974691,0.0001313545438254166,0.0001279868851908894
2024-08-31 14:29:00,59237.11,59249.25,59237.11,59248.53,42646.78227432,1.0,59325.02239044705,59230.65142857143,2024-08-31 14:36:00,0.0,59248.53,59249.37285714286,1.4225789954025458e-05,True,59249.25,,,0.0008438925387241189,49.9041076975376,59249.25,,0.7249999690253269,0.6451612645372139,21/10,1.8181816135724327,0.00019990932650905925,0.0001279868851908894
2024-08-31 14:30:00,59248.54,59249.26,59248.54,59249.25,3992.07290877,1.0,59333.64729550513,59239.51285714286,2024-08-31 14:36:00,0.0,59249.25,59249.37285714286,2.0735645236413802e-06,False,,,,,,,,0.0,0.0,21/10,1.8181816135724327,0.00017061356833103101,0.0001279868851908894
2024-08-31 14:31:00,59249.25,59252.23,59249.25,59252.23,1006.49659819,1.0,59341.98125350388,59241.07071428571,2024-08-31 14:36:00,0.0,59252.23,59249.37285714286,-4.82200055110793e-05,False,,,,,,,,0.0,0.0,22/9,2.0999997636761605,0.0001304911169132967,0.0001279868851908894
2024-08-31 14:32:00,59249.26,59249.26,59248.54,59248.55,34651.40646712,0.0,59346.943259873755,59243.68,2024-08-31 14:36:00,0.0,59248.55,59249.37285714286,1.3888224148272954e-05,False,,,,,,,,,,,,,
2024-08-31 14:33:00,59248.55,59248.55,59239.89,59239.9,29317.96800495,0.0,59350.38947030544,59239.209285714285,2024-08-31 14:36:00,0.0,59239.9,59249.37285714286,0.0001599067038069446,False,,,,,,,,,,,,,
2024-08-31 14:34:00,59249.18,59249.18,59249.17,59249.17,2298.63083976,0.0,59352.832564640456,59233.430714285714,2024-08-31 14:36:00,0.0,59249.17,59249.37285714286,3.423797208634838e-06,False,,,,,,,,,,,,,
2024-08-31 14:35:00,59249.26,59259.65,59249.26,59259.65,8874.39674572,1.0,59357.86728057115,59240.71214285714,2024-08-31 14:36:00,0.0,59259.65,59249.37285714286,-0.00017342564218891798,False,,,,,,,,0.0,0.28947366104387523,23/8,2.4444441693584933,0.0002177415271391634,0.0001279868851908894
2024-08-31 14:36:00,59249.26,59249.27,59249.26,59249.26,1235.22857428,0.0,59361.17087311309,59249.37285714286,2024-08-31 14:36:00,0.0,59249.26,59249.37285714286,1.9047856945064723e-06,False,,,,,,,,,,,,,
2024-08-31 14:37:00,59238.02,59241.17,59238.02,59241.16,826.54747631,0.0,59361.98830712016,59239.35785714286,2024-08-31 14:41:00,0.0,59241.16,59228.47142857142,-0.0002141850603293305,False,59249.25,59239.35785714286,-0.00016695811098266233,0.0,99.89575979198847,59249.25,-0.0033391622196532436,,,,,,
2024-08-31 14:38:00,59241.17,59241.18,59241.17,59241.17,2993.4563469,0.0,59362.51084626052,59229.00571428571,2024-08-31 14:41:00,0.0,59241.17,59228.47142857142,-0.00021435382570222927,False,,,,,,,,,,,,,
2024-08-31 14:39:00,59241.17,59241.17,59238.02,59238.02,348.28569772999987,0.0,59362.73063979847,59229.649999999994,2024-08-31 14:41:00,0.0,59238.02,59228.47142857142,-0.00016118991533775606,False,,,,,,,,,,,,,
2024-08-31 14:40:00,59238.02,59238.02,59238.02,59238.02,132.21926064,0.0,59357.52707962127,59226.61571428571,2024-08-31 14:41:00,0.0,59238.02,59228.47142857142,-0.00016118991533775606,False,,,,,,,,,,,,,
2024-08-31 14:41:00,59238.01,59238.01,59221.35,59221.37,12500.02012918,0.0,59351.23046695216,59228.47142857142,2024-08-31 14:41:00,0.0,59221.37,59228.47142857142,0.0001199132774438727,False,,,,,,,,,,,,,
